"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","reefs","lagoon","rug","centlat","medianhour","season","launch2","cumsum.wi"
"catch.depth.by.launch2+launch2+medianhour.by.season+reefs.by.launch2+season","depth.by.launch2+launch2+medianhour.by.season+reefs.by.launch2+season",2866.12832901806,2952.480821444,0.00525,NA,19.66,0,0,31.772,0.085,0,1,1,0,0,0,1,1,1,0.085
"catch.depth+lagoon+launch2+medianhour.by.season+season","depth+lagoon+launch2+medianhour.by.season+season",2866.17770342392,2924.26473695246,0.00158,NA,12.75,0,0.049,3.556,0.083,0.055,1,0,1,0,0,1,1,1,0.168
"catch.depth+launch2+medianhour.by.season+reefs.by.launch2+season","depth+launch2+medianhour.by.season+reefs.by.launch2+season",2866.5979033933,2941.50550527433,0.00464,NA,16.48,0,0.47,20.796,0.067,0,1,1,0,0,0,1,1,1,0.235
"catch.centlat.by.season+depth+launch2+medianhour.by.season+season","centlat.by.season+depth+launch2+medianhour.by.season+season",2866.94878005485,2928.35287316008,0.00111,NA,14.67,0,0.82,7.644,0.056,0.007,1,0,0,0,1,1,1,1,0.291
"catch.depth.by.launch2+launch2+medianhour.by.season+rug+season","depth.by.launch2+launch2+medianhour.by.season+rug+season",2867.17853734051,2933.80572229968,0.00327,NA,16.24,1,1.05,13.097,0.05,0,1,0,0,1,0,1,1,1,0.341
"catch.centlat.by.season+depth.by.launch2+launch2+medianhour.by.season+season","centlat.by.season+depth.by.launch2+launch2+medianhour.by.season+season",2867.63148291261,2940.18695843424,0.00203,NA,17.54,0,1.503,19.478,0.04,0,1,0,0,0,1,1,1,1,0.381
"catch.depth+launch2+medianhour.by.season+rug+season","depth+launch2+medianhour.by.season+rug+season",2867.65280364581,2927.38413675581,0.00251,NA,13.49,0,1.524,6.675,0.04,0.011,1,0,0,1,0,1,1,1,0.421
"catch.centlat+depth.by.launch2+launch2+medianhour.by.season+season","centlat+depth.by.launch2+launch2+medianhour.by.season+season",2867.85060306638,2935.99283254559,0.00236,NA,15.68,0,1.722,15.284,0.036,0,1,0,0,0,1,1,1,1,0.457
"catch.depth+lagoon.by.season+launch2+medianhour.by.season+season","depth+lagoon.by.season+launch2+medianhour.by.season+season",2867.9435440635,2936.67873448035,0.00162,NA,15.55,0,1.815,15.97,0.034,0,1,0,1,0,0,1,1,1,0.491
"catch.depth+launch2+medianhour.by.season+season","depth+launch2+medianhour.by.season+season",2868.06851433255,2923.26882254107,0.00117,NA,12.1,0,1.94,2.56,0.032,0.09,1,0,0,0,0,1,1,1,0.523
